video_uid,path,duration_sec,scenarios,split_em,split_av,split_fho,benchmarks,origin_video_id,video_source,device,deid_scrubbed_audio,deid_scrubbed_faces,physical_setting_name,fb_participant_id,display_resolution_width,display_resolution_height,sample_resolution_width,sample_resolution_height,release_1,canonical_s3_location,canonical_fps,canonical_display_width,canonical_display_height,canonical_num_frames,canonical_mp4_duration_sec,canonical_video_start_sec,canonical_video_duration_sec,canonical_audio_start_sec,canonical_audio_duration_sec,canonical_video_start_pts,canonical_video_duration_pts,canonical_video_base_numerator,canonical_video_base_denominator,canonical_audio_start_pts,canonical_audio_duration_pts,canonical_audio_base_numerator,canonical_audio_base_denominator,canonical_audio_channel_layout,canonical_audio_channel_rate_hz,canonical_is_validated,Case
c48a70f7-44a3-44aa-ac14-baf35e696e5c,s3://ego4d-bristol/public/v1/full_scale/c48a70f7-44a3-44aa-ac14-baf35e696e5c,1398.26,['BasketBall'],,,,[],fcd4026392ff677ef7d824455e549515,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/c48a70f7-44a3-44aa-ac14-baf35e696e5c,30,1920,1440,41947,1398.23,0.0210286,1398.23,0,1398.22,323,21476864,1,15360,0,67114608,1,48000,stereo,48000,TRUE,3
2090d1c2-8308-4966-b903-e860b498f4e3,s3://ego4d-bristol/public/v1/full_scale/2090d1c2-8308-4966-b903-e860b498f4e3,923.54,['Playing board games'],,,test,[FHO],9636ebb06c8bdd8d923f53a94f2020ca,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/2090d1c2-8308-4966-b903-e860b498f4e3,30,1920,1440,27705,923.5,0.0210286,923.5,0,923.298,323,14184960,1,15360,0,44318288,1,48000,stereo,48000,TRUE,3
6498b686-829f-4e75-9495-78c1e5b4db46,s3://ego4d-bristol/public/v1/full_scale/6498b686-829f-4e75-9495-78c1e5b4db46,1263.15,['Crafting/knitting/sewing/drawing/painting'],,,train,[FHO],4818b3476d5081cb600079bf59776fef,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/6498b686-829f-4e75-9495-78c1e5b4db46,30,1920,1440,37893,1263.1,0.0210286,1263.1,0,1262.85,323,19401216,1,15360,0,60616864,1,48000,stereo,48000,TRUE,3
d623869c-ec8f-4a97-9f97-21d258aa1d77,s3://ego4d-bristol/public/v1/full_scale/d623869c-ec8f-4a97-9f97-21d258aa1d77,704.8,['Crafting/knitting/sewing/drawing/painting'],,,,[],63e3e864a9381497db72c4415917545f,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/d623869c-ec8f-4a97-9f97-21d258aa1d77,30,1920,1440,21143,704.79,0.0210286,704.767,0,704.791,323,10825216,1,15360,0,33829984,1,48000,stereo,48000,TRUE,3
50a395ca-e434-46f3-a2f8-67fc4ca3874b,s3://ego4d-bristol/public/v1/full_scale/50a395ca-e434-46f3-a2f8-67fc4ca3874b,1867.32,['Household management - caring for kids'],,,test,[FHO],ba4fb3f65bfa462b4e48787b17b8ad4b,bristol,GoPro Hero Black 7,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/50a395ca-e434-46f3-a2f8-67fc4ca3874b,30,1920,1440,56018,1867.33,0.0210286,1867.27,0,1867.33,323,28681216,1,15360,0,89631760,1,48000,stereo,48000,TRUE,3
93f78437-229d-4824-a8c1-68d9b17e754d,s3://ego4d-bristol/public/v1/full_scale/93f78437-229d-4824-a8c1-68d9b17e754d,2323.06,['Cooking'],,,val,[FHO],75b20e44d6c60ca6502009b1346d3f6c,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/93f78437-229d-4824-a8c1-68d9b17e754d,30,1920,1440,69689,2322.98,0.0210286,2322.97,0,2322.98,323,35680768,1,15360,0,111503152,1,48000,stereo,48000,TRUE,3
f735d4bb-d65e-4965-ac0d-270c0b9e5993,s3://ego4d-bristol/public/v1/full_scale/f735d4bb-d65e-4965-ac0d-270c0b9e5993,2578.58,['Cooking'],val,,train,[EM|FHO],aefacb007995dfe039dc284b87161f8c,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/f735d4bb-d65e-4965-ac0d-270c0b9e5993,30,1920,1440,77355,2578.52,0.0210286,2578.5,0,2578.52,323,39605760,1,15360,0,123769120,1,48000,stereo,48000,TRUE,3
a16dde53-8a4d-4246-aab4-9759f0af81f0,s3://ego4d-bristol/public/v1/full_scale/a16dde53-8a4d-4246-aab4-9759f0af81f0,1846,['Cooking'],,,,[],7b593fb494899cb166946c24dfcd3622,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/a16dde53-8a4d-4246-aab4-9759f0af81f0,30,1920,1440,55379,1845.97,0.0210286,1845.97,0,1845.74,323,28354048,1,15360,0,88595600,1,48000,stereo,48000,TRUE,3
b8952ddf-dd75-4d30-99f2-4e93a286abda,s3://ego4d-bristol/public/v1/full_scale/b8952ddf-dd75-4d30-99f2-4e93a286abda,3278.6,['Cleaning / laundry'],,,multi,[FHO],c30899d0ab5b7c126834323248c0acd6,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/b8952ddf-dd75-4d30-99f2-4e93a286abda,30,1920,1440,98355,3278.5,0.0210286,3278.5,0,3278.49,323,50357760,1,15360,0,157367408,1,48000,stereo,48000,TRUE,3
dfaba491-c7e9-43c0-8294-b5b96d22fa7e,s3://ego4d-bristol/public/v1/full_scale/dfaba491-c7e9-43c0-8294-b5b96d22fa7e,2467.19,['Cooking'],train,,,[EM],a6dec6d6dbe1935543b9e72a7bcacaad,bristol,GoPro Hero Black 8,TRUE,FALSE,,,1920,1440,1920,1440,TRUE,s3://ego4d-bristol/public/v1/full_scale/dfaba491-c7e9-43c0-8294-b5b96d22fa7e,30,1920,1440,74014,2467.13,0.0210286,2467.13,0,2466.9,323,37895168,1,15360,0,118411088,1,48000,stereo,48000,TRUE,3
